4/5/2019,9:00:42 ;01, 36.23351,0;02, .0000003718043,0;03, .3499466,0;04, 21.61759,0;05, 19.89828,0;
4/5/2019,9:00:43 ;01, 36.23351,0;02, .0000003718043,0;03, .3499466,0;04, 21.61759,0;05, 19.89828,0;
4/5/2019,9:00:44 ;01, 36.24046,0;02, .0000004322776,0;03, .3499466,0;04, 21.59889,0;05, 19.90109,0;
4/5/2019,9:00:45 ;01, 36.24046,0;02, .0000004322776,0;03, .3499466,0;04, 21.59889,0;05, 19.90109,0;
4/5/2019,9:00:46 ;01, 36.24046,0;02, .000000394906,0;03, .3499466,0;04, 21.46799,0;05, 19.95158,0;
4/5/2019,9:00:47 ;01, 36.23351,0;02, .0000003425984,0;03, .3499466,0;04, 21.58019,0;05, 19.95438,0;
4/5/2019,9:00:48 ;01, 36.23351,0;02, .0000003425984,0;03, .3499466,0;04, 21.58019,0;05, 19.95438,0;
4/5/2019,9:00:49 ;01, 36.24741,0;02, .0000003877451,0;03, .3550889,0;04, 21.46799,0;05, 19.9656,0;
4/5/2019,9:00:50 ;01, 36.24046,0;02, .0000003599894,0;03, .3499466,0;04, 21.46799,0;05, 19.93194,0;
4/5/2019,9:00:51 ;01, 36.24046,0;02, .0000003599894,0;03, .3499466,0;04, 21.46799,0;05, 19.93194,0;
4/5/2019,9:00:52 ;01, 36.23351,0;02, .0000004253538,0;03, .3499466,0;04, 21.46799,0;05, 20.07789,0;
4/5/2019,9:00:53 ;01, 36.23351,0;02, .000000406552,0;03, .3499466,0;04, 21.44929,0;05, 19.98804,0;
4/5/2019,9:00:54 ;01, 36.23351,0;02, .000000406552,0;03, .3499466,0;04, 21.44929,0;05, 19.98804,0;
4/5/2019,9:00:55 ;01, 36.23351,0;02, .0000005113175,0;03, .3499466,0;04, 21.50539,0;05, 20.06947,0;
4/5/2019,9:00:56 ;01, 36.23351,0;02, .0000005113175,0;03, .3499466,0;04, 21.50539,0;05, 20.06947,0;
4/5/2019,9:00:57 ;01, 36.21959,0;02, .0000005168512,0;03, .3499466,0;04, 21.50539,0;05, 20.06385,0;
4/5/2019,9:00:58 ;01, 36.22655,0;02, .000000537852,0;03, .3448042,0;04, 21.50539,0;05, 20.05823,0;
4/5/2019,9:00:59 ;01, 36.22655,0;02, .000000537852,0;03, .3448042,0;04, 21.50539,0;05, 20.05823,0;
4/5/2019,9:01:00 ;01, 36.22655,0;02, .000000589385,0;03, .3499466,0;04, 21.63629,0;05, 19.95718,0;
4/5/2019,9:01:01 ;01, 36.20568,0;02, .0000004840038,0;03, .3448042,0;04, 21.54279,0;05, 20.00768,0;
4/5/2019,9:01:02 ;01, 36.20568,0;02, .0000004840038,0;03, .3448042,0;04, 21.54279,0;05, 20.00768,0;
4/5/2019,9:01:03 ;01, 36.21959,0;02, .0000004977409,0;03, .3499466,0;04, 21.63629,0;05, 19.89548,0;
4/5/2019,9:01:04 ;01, 36.21264,0;02, .0000005015057,0;03, .3448042,0;04, 21.58019,0;05, 19.93475,0;
4/5/2019,9:01:05 ;01, 36.21959,0;02, .0000004313478,0;03, .3448042,0;04, 21.61759,0;05, 19.89548,0;
